time,value,date
01:56:19,64,2022-11-26
01:56:34,64,2022-11-26
01:56:39,65,2022-11-26
01:56:44,65,2022-11-26
01:56:59,65,2022-11-26
01:57:09,66,2022-11-26
01:57:24,65,2022-11-26
01:57:29,64,2022-11-26
01:57:34,65,2022-11-26
01:57:49,64,2022-11-26
01:58:04,64,2022-11-26
01:58:19,64,2022-11-26
01:58:24,62,2022-11-26
01:58:34,63,2022-11-26
01:58:49,63,2022-11-26
01:59:04,63,2022-11-26
01:59:19,63,2022-11-26
01:59:29,64,2022-11-26
01:59:34,65,2022-11-26
01:59:49,65,2022-11-26
01:59:54,66,2022-11-26
02:00:09,66,2022-11-26
02:35:42,70,2022-11-26
02:35:52,83,2022-11-26
02:35:57,97,2022-11-26
02:36:02,95,2022-11-26
02:36:17,95,2022-11-26
02:36:32,95,2022-11-26
02:36:47,95,2022-11-26
02:37:02,95,2022-11-26
02:37:12,94,2022-11-26
02:37:17,93,2022-11-26
02:37:32,89,2022-11-26
02:37:37,85,2022-11-26
02:37:52,85,2022-11-26
02:38:02,84,2022-11-26
02:38:12,85,2022-11-26
02:38:17,83,2022-11-26
02:38:22,79,2022-11-26
02:38:27,75,2022-11-26
02:38:32,73,2022-11-26
02:38:37,72,2022-11-26
02:38:42,71,2022-11-26
02:38:47,69,2022-11-26
02:38:52,66,2022-11-26
02:38:57,64,2022-11-26
02:39:07,63,2022-11-26
02:39:12,63,2022-11-26
02:39:27,63,2022-11-26
02:39:32,64,2022-11-26
02:39:47,64,2022-11-26
02:39:57,63,2022-11-26
02:40:07,63,2022-11-26
02:40:22,64,2022-11-26
02:40:27,68,2022-11-26
02:40:32,70,2022-11-26
02:40:37,69,2022-11-26
02:40:42,68,2022-11-26
02:40:47,68,2022-11-26
02:40:57,71,2022-11-26
02:41:04,73,2022-11-26
02:41:09,71,2022-11-26
02:41:14,71,2022-11-26
02:41:19,70,2022-11-26
02:41:29,69,2022-11-26
02:41:34,68,2022-11-26
02:41:44,67,2022-11-26
02:41:49,66,2022-11-26
02:42:04,66,2022-11-26
02:42:14,67,2022-11-26
02:42:19,69,2022-11-26
02:42:24,70,2022-11-26
02:42:29,69,2022-11-26
02:42:34,68,2022-11-26
02:42:39,66,2022-11-26
02:42:44,67,2022-11-26
02:42:49,66,2022-11-26
02:42:54,65,2022-11-26
02:43:04,66,2022-11-26
02:43:09,65,2022-11-26
